instance,n,scenario_file,scenario_type,n_failures,n_actions,target_total,target_achieved,target_recovery_pct,nominal_profit,adaptive_profit,profit_loss_pct,nominal_time,adaptive_time,time_diff_pct,nominal_score,adaptive_score,score_loss_pct,n_bypass,n_change_tool,n_destroy,n_replan,n_fallback,n_destroyed_comps,n_skipped_comps,grasp_time,adapt_time,error
scholl_lutz2_n=89,89,scenario_simple_scholl_lutz2_n=89.json,simple,1,1,2,2,100.0,1493.0,1493.0,0.0,476.0,476.0,0.0,496.08,496.08,0.0,0,1,0,0,0,0,0,0.443,0.014,
scholl_lutz3_n=89,89,scenario_complex_scholl_lutz3_n=89.json,complex,3,4,3,2,66.7,879.0,686.0,22.0,982.0,826.0,15.9,289.73,226.34,21.9,1,0,2,0,1,1,2,0.097,0.066,
scholl_lutz3_n=89,89,scenario_intermediate_scholl_lutz3_n=89.json,intermediate,2,3,3,3,100.0,879.0,854.0,2.8,982.0,955.0,2.7,289.73,281.48,2.8,2,0,0,0,1,0,1,0.128,0.041,
scholl_lutz3_n=89,89,scenario_simple_scholl_lutz3_n=89.json,simple,1,1,3,3,100.0,879.0,879.0,0.0,982.0,982.0,0.0,289.73,289.73,0.0,0,1,0,0,0,0,0,0.112,0.014,
scholl_mansoor_n=11,11,scenario_complex_scholl_mansoor_n=11.json,complex,2,3,1,1,100.0,215.0,172.0,20.0,185.0,185.0,0.0,71.05,60.45,14.9,1,0,1,0,1,2,0,0.028,0.07,
scholl_mansoor_n=11,11,scenario_intermediate_scholl_mansoor_n=11.json,intermediate,2,2,1,1,100.0,215.0,215.0,0.0,185.0,185.0,0.0,71.05,71.05,0.0,0,2,0,0,0,0,0,0.02,0.027,
scholl_mansoor_n=11,11,scenario_simple_scholl_mansoor_n=11.json,simple,1,1,1,1,100.0,215.0,215.0,0.0,185.0,185.0,0.0,71.05,71.05,0.0,0,1,0,0,0,0,0,0.018,0.018,
scholl_mertens_n=7,7,scenario_complex_scholl_mertens_n=7.json,complex,1,1,1,1,100.0,80.0,80.0,0.0,17.0,17.0,0.0,26.61,26.61,0.0,0,1,0,0,0,0,0,0.01,0.013,
scholl_mertens_n=7,7,scenario_intermediate_scholl_mertens_n=7.json,intermediate,1,1,1,1,100.0,80.0,56.0,30.0,17.0,12.0,29.4,26.61,18.63,30.0,1,0,0,0,0,0,1,0.01,0.018,
scholl_mertens_n=7,7,scenario_simple_scholl_mertens_n=7.json,simple,1,0,1,1,100.0,80.0,80.0,0.0,17.0,17.0,0.0,26.61,26.61,0.0,0,0,0,0,0,0,0,0.01,0.0,
